Taco Soup,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2011/11/23/0/FN_taco-soup-010_s4x3.jpg.rend.sni12col.landscape.jpeg,6 hr 15 min,15 min,6 hr,12 to 16 servings,Easy,"[u'2 pounds ground beef', u'2 cups diced onions', u'2 (15 1/2-ounce) cans pinto beans', u'1 (15 1/2-ounce) can pink kidney beans', u'1 (15 1/4-ounce) can whole kernel corn, drained', u'1 (14 1/2-ounce) can Mexican-style stewed tomatoes', u'1 (14 1/2-ounce) can diced tomatoes', u'1 (14 1/2-ounce) can tomatoes with chiles', u'2 (4 1/2-ounce) cans diced green chiles', u'1 (4.6-ounce) can black olives, drained and sliced, optional', u'1/2 cup green olives, sliced, optional', u'1 (1 1/4-ounce) package taco seasoning mix', u'1 (1-ounce) package ranch salad dressing mix', u' Corn chips, for serving', u' Sour cream, for garnish', u' Grated cheese, for garnish', u' Chopped green onions, for garnish', u' Pickled jalapenos, for garnish']"
Fish Tacos,,1 hr 45 min,35 min,25 min,4 servings,Intermediate,"[u'1 pound white flaky fish, such as mahi mahi or orata', u'1/4 cup canola oil', u'1 lime, juiced', u'1 tablespoons ancho chili powder', u'1 jalapeno, coarsely chopped', u'1/4 cup chopped fresh cilantro leaves', u'8 flour tortillas', u' Shredded white cabbage', u' Hot sauce', u' Crema or sour cream', u' Thinly sliced red onion', u' Thinly sliced green onion', u' Chopped cilantro leaves', u' Pureed Tomato Salsa, recipe follows', u'2 tablespoon peanut oil', u'1 small red onion, coarsely chopped', u'4 cloves garlic, coarsely chopped', u'4 large ripe tomatoes, chopped', u'1 serrano chile', u'1 jalapeno, sliced', u'1 tablespoon chipotle hot sauce', u'1 tablespoon Mexican oregano', u'1/4 cup chopped fresh cilantro leaves', u' Salt and pepper']"
Turkey Tacos,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2013/7/11/0/JD0203H_turkey-tacos-recipe_s4x3.jpg.rend.sni12col.landscape.jpeg,1 hr 25 min,50 min,35 min,8 servings,Easy,"[u'4 tablespoons olive oil', u'12 ounces ground turkey meat (light meat)', u'1 medium poblano pepper, seeded and diced', u'1 medium zucchini, diced', u'1/2 medium Vidalia onion, finely chopped', u'1 heaping tablespoon chili powder', u'2 teaspoons ground cumin', u'1 teaspoon paprika', u' Kosher salt and freshly ground black pepper', u'1 plum tomato, chopped', u'3/4 cup chicken stock', u'8 soft taco shells', u' Shredded iceberg lettuce', u' Shredded sharp Cheddar', u' Diced avocado', u' Diced plum tomatoes', u' Sliced radishes', u' Sour cream']"
Taco Salad,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2009/6/12/2/PA0508_31478_s4x3.jpg.rend.sni12col.landscape.jpeg,10 min,10 min,,6 to 8 servings,Easy,"[u'2 ripe tomatoes, diced', u'1/2 pound sharp Cheddar, diced', u'1 large onion, diced', u'1 head iceberg lettuce, washed, drained and shredded', u'1 pound lean ground beef, browned, crumbled and drained', u'1 cup salad dressing (recommended: Catalina)', u'1 (7-ounce) bag taco flavored chips, crushed', u'1 cup salsa', u' Tortilla chips, to serve']"
Fish Tacos,,40 min,30 min,10 min,4 servings,Easy,"[u'1 pound flaky white fish fillets, such as haddock, halibut or cod', u'1 lime, zested and juiced', u'1/2 teaspoon pimenton', u'2 cloves garlic, smashed', u'1/4 cup canola or vegetable oil', u' Kosher salt', u'1/2 head savoy cabbage, shredded', u'3 scallions, sliced thinly on the bias', u'1 jalapeno, minced, optional', u'1/4 to 1/2 cup white vinegar', u'2 tablespoons honey', u'1/4 cup canola oil', u' Kosher salt', u'8 flour tortillas', u'1 avocado, halved, pitted and flesh sliced', u' Combine the cabbage, scallion, and jalapeno, if using, in a medium bowl.']"
Taco Bar,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2007/12/7/0/EM0813_Taco_Bar.jpg.rend.sni12col.landscape.jpeg,1 hr 15 min,40 min,35 min,12 tacos,Easy,"[u'2 tablespoons olive oil', u'1 1/2 cups onion, finely chopped', u'3 tablespoons minced garlic', u'3 tablespoons ground cumin', u'2 pounds ground beef', u'1 teaspoon ground chipotle pepper', u'1 1/2 teaspoons kosher salt', u'2 cups beef broth', u'1/4 cup tomato paste', u'12 to 16 taco shells or warmed soft tortillas, as desired', u' Grated Monterey Jack or Cheddar, for garnish', u' Diced tomatoes, for garnish', u' Minced jalapenos, for garnish', u' Sour cream, for garnish', u' Shredded iceburg lettuce, for garnish', u' Guacamole, recipe follows, for garnish', u' Salsa, recipe follows, for garnish', u' Chopped red onion, for garnish', u'3 ripe avocados, peeled and cut into 1/2-inch pieces', u'3 tablespoons finely chopped yellow onion', u'3 cloves garlic, minced', u'1 tablespoon freshly minced cilantro leaves', u'2 tablespoons fresh lime juice', u'1/2 teaspoon salt', u'4 large tomatoes, about 21/2 pounds, seeded and roughly chopped', u'1 cup chopped white onions', u'5 teaspoons minced garlic', u'4 serrano peppers, stems and seeds removed, minced', u'1/4 cup chopped fresh cilantro', u'2 tablespoons fresh lime juice', u'1/2 teaspoon salt']"
Fish Taco,,38 min,15 min,15 min,4 to 6 servings,Intermediate,"[u'3 cloves garlic', u'1 cup packed cilantro leaves', u'2 limes, zested', u'2 teaspoons ground cumin', u'1 1/2 teaspoons kosher salt', u'1 teaspoon freshly ground black pepper', u'1/4 cup tequila', u'1 pound tilapia fillets', u'1 tablespoon olive oil', u'8 (7-inch) round Flour Tortillas, recipe follows', u' Crema, recipe follows', u' Shredded red cabbage', u' Lime wedges', u'9 ounces all-purpose flour, plus 1/4 cup for kneading and rolling', u'1 teaspoon kosher salt', u'1/3 cup lard', u'1/2 cup cool water', u'1 cup heavy cream', u'1 tablespoon buttermilk', u'1 chipotle chile in adobo sauce', u'1/4 teaspoon kosher salt']"
All American Beef Taco,,1 hr 15 min,45 min,30 min,6 servings,Intermediate,"[u'3/4 cup peanut oil', u'12 (6-inch) yellow corn tortillas', u' Kosher, for seasoning, plus 1 teaspoon for beef', u'1 medium onion, chopped', u'16 ounces ground sirloin', u'2 cloves garlic, minced', u'1 recipe Taco Potion #19, recipe follows', u'2/3 cup low-sodium beef broth', u'6 ounces panela cheese, crumbled', u'12 pickled jalapeno slices', u'1 cup shredded iceberg lettuce, optional', u'1 large tomato, seeded and chopped, optional', u'1/2 cup fresh cilantro leaves, optional', u' Special equipment: heavy duty aluminum foil', u'2 tablespoons chili powder', u'1 tablespoon ground cumin', u'2 teaspoons cornstarch', u'2 teaspoons kosher salt', u'1 1/2 teaspoons hot smoked paprika', u'1 teaspoon ground coriander', u'1/2 teaspoon cayenne pepper']"
Tacos Carne Asada,,2 hr 10 min,45 min,1 hr 5 min,4 servings (2 tacos per person),Easy,"[u'2 pounds flank or skirt steak, trimmed of excess fat', u'1 recipe Mojo, recipe follows', u' Olive oil, for coating the grill', u' Kosher salt and freshly ground black pepper', u'16 (7-inch) corn tortillas', u' Shredded romaine or iceberg lettuce, for serving', u' Chopped white onion, for serving', u' Shredded Jack cheese, for serving', u'1/2 cup Pico de Gallo, recipe follows', u'2 limes, cut in wedges for serving', u'4 garlic cloves, minced', u'1 jalapeno, minced', u'1 large handful fresh cilantro leaves, finely chopped', u' Kosher salt and freshly ground black pepper', u'2 limes, juiced', u'1 orange, juiced', u'2 tablespoons white vinegar', u'1/2 cup olive oil', u'4 vine-ripe tomatoes, chopped', u'1/2 medium red onion, chopped', u'2 green onions, white and green parts, sliced', u'1 Serrano chile, minced', u'1 handful fresh cilantro leaves, chopped', u'3 garlic cloves, minced', u'1 lime, juiced', u'1/4 cup extra-virgin olive oil', u'1 teaspoon kosher salt']"
Beef Tacos,,25 min,25 min,,10 servings,Easy,"[u'1 tablespoon olive oil', u'1/2 yellow onion, diced', u'2 pounds ground beef', u'1/2 teaspoon chili powder', u'1/2 teaspoon cumin', u'1/2 teaspoon paprika', u'1/2 teaspoon salt', u'1/2 teaspoon ground black pepper', u'1/4 teaspoon crushed red pepper', u'20 fajita-sized flour tortillas', u'18 hard taco shells', u'1 pound Cheddar-Jack cheese, grated', u'15 Roma tomatoes, diced', u'1 head green leaf lettuce, shredded']"
